session_id,start,end,duration_min,notes
20251002-1759414662,2025-10-02 11:17:42,2025-10-02 11:36:37,18.92,
20251002-1759420631,2025-10-02 12:57:11,2025-10-02 13:13:25,16.24,
20251003-1759491641,2025-10-03 08:40:41,2025-10-03 10:39:51,119.16,
20251004-1759601289,2025-10-04 15:08:09,2025-10-04 15:08:18,0.15,
20251004-1759601507,2025-10-04 15:11:47,2025-10-04 15:50:17,38.49,
20251005-1759668253,2025-10-05 09:44:13,2025-10-05 09:49:47,5.57,
20251006-1759754345,2025-10-06 09:39:05,2025-10-06 17:58:07,499.04,
